2025-12-20 21:38:06,393 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000935802.json
2025-12-20 21:38:06,726 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001050112.json
2025-12-20 21:38:07,059 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000874389.json
2025-12-20 21:38:07,393 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000006948.json
2025-12-20 21:38:07,725 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000860420.json
2025-12-20 21:38:08,059 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001111938.json
2025-12-20 21:38:08,392 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000915390.json
2025-12-20 21:38:08,726 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000910562.json
2025-12-20 21:38:09,059 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001013243.json
2025-12-20 21:38:09,393 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001113836.json
2025-12-20 21:38:09,726 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001020620.json
2025-12-20 21:38:10,059 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001113527.json
2025-12-20 21:38:10,392 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000909326.json
2025-12-20 21:38:10,725 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000898904.json
2025-12-20 21:38:11,061 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000911115.json
2025-12-20 21:38:11,392 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001035423.json
2025-12-20 21:38:11,725 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001005015.json
2025-12-20 21:38:12,058 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001060024.json
2025-12-20 21:38:12,394 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000074783.json
2025-12-20 21:38:12,725 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001097081.json
2025-12-20 21:38:13,059 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000913364.json
2025-12-20 21:38:13,395 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000937971.json
2025-12-20 21:38:13,726 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001017648.json
2025-12-20 21:38:14,059 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000883702.json
2025-12-20 21:38:14,392 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000796486.json
2025-12-20 21:38:14,725 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001078420.json
2025-12-20 21:38:15,060 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000030841.json
2025-12-20 21:38:15,392 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000876320.json
2025-12-20 21:38:15,725 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000096638.json
2025-12-20 21:38:16,059 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000002852.json
2025-12-20 21:38:16,392 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001337913.json
2025-12-20 21:38:16,725 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001058703.json
2025-12-20 21:38:17,058 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000885066.json
2025-12-20 21:38:17,392 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000202890.json
2025-12-20 21:38:17,725 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000909950.json
2025-12-20 21:38:18,058 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000003941.json
2025-12-20 21:38:18,392 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001013218.json
2025-12-20 21:38:18,725 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000714756.json
2025-12-20 21:38:19,059 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000027425.json
2025-12-20 21:38:19,392 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000051124.json
2025-12-20 21:38:19,725 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000027425.json
2025-12-20 21:38:20,067 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000315136.json
2025-12-20 21:38:20,392 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000868076.json
2025-12-20 21:38:20,725 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000772349.json
2025-12-20 21:38:21,059 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001068078.json
2025-12-20 21:38:21,393 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000853927.json
